"method_norm","n","r_method","r_median_us","r_mean_us","r_p25_us","r_p75_us","r_mem_bytes","rust_method","rust_median_us","rust_mean_us","rust_p25_us","rust_p75_us","rust_mem_bytes","speedup_median","speedup_mean","mem_ratio","module"
"Doubly_Robust",200,"Doubly_Robust",1095.9235,1292.77293,1049.995,1279.892,751152,"Doubly_Robust",24.152,33.73684,23.04075,45.12475,0,45.3760972176217,38.3193248093182,NA,"Causal"
"Doubly_Robust",1000,"Doubly_Robust",1865.8855,2465.70826,1838.765,1998.406,2488168,"Doubly_Robust",664.491,664.47374,662.891,666.08725,0,2.80799213232384,3.71076855497706,NA,"Causal"
"Synth",100,"Synth",898.547,920.134,896.466,926.243,229504,"SynthControl",10652.5335,10723.67206,10113.619,11160.916,73728,0.0843505444033572,0.0858040039691404,3.11284722222222,"Causal"
"Synth",300,"Synth",848.37,866.473,833.17,864.419,264312,"SynthControl",38142.52,38214.11123,36999.754,39245.921,40960,0.0222421067092578,0.0226741633420425,6.4529296875,"Causal"
"Bacon",500,"Bacon",4002.436,5255.8044,3933.44725,4573.9295,2635904,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Bacon",1000,"Bacon",6915.1565,8120.3857,6726.768,7175.409,5687552,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"CBPS",200,"CBPS",13342.911,14866.5348,13080.57825,14302.63425,9639808,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"CBPS",1000,"CBPS",65896.113,92441.9092,65675.82025,66449.71075,63042656,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"CBPS",5000,"CBPS",564193.9295,596961.7649,550765.54725,607004.9615,763567528,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"DiD",100,"DiD",166.3445,274.02673,164.47275,185.26425,25808,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"DiD",500,"DiD",180.7925,182.02246,179.112,183.176,121680,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"DiD",1000,"DiD",203.153,205.00557,198.677,208.525,241776,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"DoubleML",200,"DoubleML",128389.496,180726.575,128182.52,132372.229,31215056,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"DoubleML",500,"DoubleML",128050.327,126065.4832,123862.219,128098.968,17540192,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"DoubleML",1000,"DoubleML",132528.708,130453.304,126360.915,133270.375,25753960,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Doubly_Robust",500,NA,NA,NA,NA,NA,NA,"Doubly_Robust",345.922,346.07552,344.422,347.134,0,NA,NA,NA,"Causal"
"Doubly_Robust",5000,"Doubly_Robust",8479.0335,9565.02185,7217.88125,11219.925,12380008,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"ETWFE",500,"ETWFE",2545.5995,2590.8925,2507.58725,2581.756,4224176,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"ETWFE",1000,"ETWFE",2725.416,3373.3635,2663.29525,2874.60475,217720,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"ETWFE",2000,"ETWFE",3133.969,3021.75135,2826.04075,3162.94575,364120,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"GSynth",400,"GSynth",2626.423,2783.147,2610.84,2893.288,3309584,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"GSynth",1000,"GSynth",4077.708,4226.9054,4041.964,4294.317,1948328,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"IPW",200,"IPW",496.049,614.30103,482.31375,512.697,419640,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"IPW",1000,"IPW",977.043,1431.84166,950.343,1650.125,2022584,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"IPW",5000,"IPW",7467.334,9010.43721,6919.957,9915.24925,10063928,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"LTMLE",200,"LTMLE",9969.342,10385.5922,9966.014,10244.414,4943752,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"LTMLE",500,"LTMLE",10365.871,10627.1448,10138.605,10766.976,5393056,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"LTMLE",1000,"LTMLE",18786.503,17496.0898,14091.001,19169.56,10085088,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Matching",200,"Matching",946.555,1004.8296,920.775,997.391,1853536,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Matching",1000,"Matching",2372.1115,2514.3656,2260.079,2688.85675,2859296,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Matching",5000,"Matching",10482.185,11818.2714,10205.08025,12720.30475,11682776,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Mediation",200,"Mediation",85563.545,82886.3378,78898.982,85624.121,28182992,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Mediation",500,"Mediation",111438.005,113294.6596,108241.387,117427.142,66237952,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Mediation",1000,"Mediation",352599.858,268881.5126,124355.114,353329.172,131760240,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"RD",500,"RD",5287.561,5884.0804,5072.004,5601.406,2652840,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"RD",1000,"RD",8776.5,9762.72475,8551.28725,9465.082,2379792,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"RD",5000,"RD",36854.782,39286.71905,34129.32475,44882.759,10984840,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"RD_Multi",500,"RD_Multi",12711.438,13879.9164,11932.51125,13249.623,3045488,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"RD_Multi",1000,"RD_Multi",19305.6335,22068.5324,18777.60325,20659.817,4856432,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"RD_Multi",5000,"RD_Multi",84157.0175,86641.4085,83692.00325,86051.46275,22214744,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Staggered_DiD",500,"Staggered_DiD",57616.603,61053.272,57615.899,66034.099,21655344,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Staggered_DiD",1000,"Staggered_DiD",59617.297,62318.7352,59302.304,66689.062,16931136,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Staggered_DiD",2000,"Staggered_DiD",65340.642,75230.4692,61890.247,80504.431,19040448,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"TMLE",200,"TMLE",118869.71,117382.279,118433.565,119005.568,43644800,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"TMLE",500,"TMLE",185677.314,183267.7398,156787.55,186837.399,95775304,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"TMLE",1000,"TMLE",294521.266,303427.9864,292116.763,298100.748,188743312,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"WeightIt",200,"WeightIt",1559.893,1647.5005,1549.349,1650.553,2475336,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"WeightIt",1000,"WeightIt",2801.801,3197.763,2525.528,2908.457,2760912,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"WeightIt",5000,"WeightIt",10784.05,10666.81485,8394.00275,12062.615,13933920,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Causal"
"Jarque_Bera",100,"Jarque_Bera",22.56,22.81751,22.336,22.808,35592,"Jarque_Bera",0.704,0.71569,0.672,0.72,0,32.0454545454545,31.8818343137392,NA,"Diagnostics"
"Jarque_Bera",1000,"Jarque_Bera",67.3925,68.97463,67.02,68.30875,28192,"Jarque_Bera",6.032,6.64403,5.56,6.096,0,11.1724966843501,10.3814446954634,NA,"Diagnostics"
"Jarque_Bera",10000,"Jarque_Bera",568.49,571.06921,566.43725,571.554,280192,"Jarque_Bera",53.216,54.16298,50.54,57.90425,0,10.6826894167168,10.5435337937462,NA,"Diagnostics"
"Breusch_Godfrey",100,"Breusch_Godfrey",98.656,100.0659,97.925,99.64825,104064,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Breusch_Godfrey",500,"bgtest",210.793,215.5144,207.97625,214.985,133336,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Breusch_Godfrey",1000,"Breusch_Godfrey",218.953,261.2827,214.41675,223.245,289272,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Breusch_Godfrey",5000,"bgtest",1156.628,1150.7545,1108.012,1175.82825,1321336,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Breusch_Godfrey",10000,"Breusch_Godfrey",1525.4125,1685.74171,1503.58025,1549.56025,2881272,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Breusch_Pagan",100,"Breusch_Pagan",100.0165,101.91153,98.70025,102.804,209112,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Breusch_Pagan",1000,"Breusch_Pagan",235.849,238.70654,234.70475,237.712,414640,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Breusch_Pagan",10000,"Breusch_Pagan",1825.094,2059.51612,1814.986,1842.138,4224400,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Durbin_Watson",100,"Durbin_Watson",146.393,149.88029,144.856,149.532,150848,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Durbin_Watson",1000,"Durbin_Watson",230.441,233.81525,228.677,235.493,405848,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Durbin_Watson",10000,"Durbin_Watson",985.707,1196.72745,970.291,1002.667,4041848,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Harvey_Collier",100,"Harvey_Collier",815.498,849.78721,743.503,826.18275,85768,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Harvey_Collier",1000,"Harvey_Collier",6720.652,6929.90117,6584.928,6954.473,48144,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Harvey_Collier",10000,"Harvey_Collier",69585.4965,70806.88205,67780.39975,70518.852,480144,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"RESET",100,"resettest",159.521,168.4246,155.58475,171.176,158592,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"RESET",500,"resettest",275.449,279.025,272.977,280.261,256680,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"RESET",1000,"resettest",443.53,446.6544,441.96525,450.43375,510776,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"RESET",5000,"resettest",1833.087,2009.6936,1817.726,1867.53425,2568120,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"RESET",10000,"RESET",3661.059,5544.02979,3580.859,3849.888,5533632,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"VIF",100,"VIF",133.3525,137.51389,130.17625,139.22875,172552,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"VIF",1000,"VIF",263.217,307.29475,256.485,270.585,64288,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"VIF",10000,"VIF",1841.91,1876.4387,1835.942,1855.398,640288,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Wald",100,"waldtest",234.5125,249.6089,228.469,256.725,816576,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Wald",500,"waldtest",315.809,465.9937,307.221,328.081,26896,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Wald",1000,"waldtest",368.8815,375.8558,360.761,378.85725,46896,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Wald",5000,"waldtest",1014.196,1027.9028,1007.499,1034.97125,206896,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Wald",10000,"Wald",2322.439,2319.48952,2285.399,2341.787,560336,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diagnostics"
"Logit",100,"logit",343.5925,355.36532,338.59275,354.05275,209080,"Logit",25.152,25.21867,25.02,25.36,0,13.6606432888041,14.0913585054248,NA,"Discrete"
"Probit",100,"probit",366.0965,374.19478,360.172,375.36825,182448,"Probit",37,37.06244,36.67275,37.25275,0,9.8945,10.0963341863083,NA,"Discrete"
"Logit",500,"logit",593.129,840.19484,565.79675,681.809,975352,"Logit",104.881,105.11797,104.161,105.928,0,5.65525691021253,7.99287543319187,NA,"Discrete"
"Logit",1000,"logit",895.345,3254.60214,837.573,1307.84575,1933448,"Logit",198.289,198.35828,196.589,199.933,0,4.51535385220562,16.4076949043922,NA,"Discrete"
"Probit",500,"probit",652.969,813.2351,649.413,672.593,1044168,"Probit",149.353,149.85259,148.49225,150.625,0,4.37198449311363,5.42690052938024,NA,"Discrete"
"Probit",1000,"probit",968.4495,1086.53374,964.49725,985.43325,2070264,"Probit",285.2735,285.07568,282.92125,287.04525,0,3.39481059404396,3.81138699730542,NA,"Discrete"
"Hurdle",100,"Hurdle",1452.7405,1488.0621,1427.388,1489.876,1569208,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Hurdle",500,"Hurdle",4228.8525,4930.7843,4155.916,4432.35725,5791232,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Hurdle",1000,"Hurdle",5930.0015,6847.9716,5888.97,6085.70625,10021776,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Logit",10000,"Logit",8546.387,12136.26605,7560.53275,11108.24975,19756296,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Mixed_Logit",150,"Mixed_Logit",58741.775,61117.8876,58471.742,64484.128,25505376,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Mixed_Logit",300,"Mixed_Logit",126105.256,128907.3498,125854.534,126362.968,44068216,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Mixed_Logit",600,"Mixed_Logit",271905.383,285973.2938,270799.524,279559.359,93507096,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Multinomial_Logit",100,"Multinomial_Logit",346.7615,357.2178,344.51775,352.445,387168,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Multinomial_Logit",500,"multinom",749.0185,757.4539,745.247,760.20275,283168,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Multinomial_Logit",1000,"multinom",1366.061,1374.1633,1360.16425,1382.057,559264,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Multinomial_Logit",5000,"multinom",11169.4235,11285.6542,11149.95925,11374.8205,2792608,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"NegBin",100,"glm_nb",2262.256,2367.0068,2228.984,2425.28475,1394920,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"NegBin",500,"glm_nb",3094.875,3146.0847,3075.595,3179.107,3198392,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"NegBin",1000,"glm_nb",5590.692,5874.4335,5495.975,5829.352,6729520,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"NegBin",5000,"glm_nb",26824.039,27141.0973,26651.382,27902.17475,31513880,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Ordered_Logit",100,"polr",1310.357,1351.584,1294.705,1367.38475,1384240,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Ordered_Logit",500,"polr",3069.5625,3274.9298,3057.907,3125.523,3202288,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Ordered_Logit",1000,"polr",5818.1645,6165.3306,5695.696,6037.37775,7077136,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Ordered_Logit",5000,"polr",35257.6365,36216.523,30124.4225,40093.3175,36776496,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Poisson",100,"Poisson",405.506,489.30541,402.601,413.762,320808,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Poisson",500,"Poisson",702.9465,793.84831,693.634,730.347,1256640,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"Poisson",1000,"Poisson",1050.8115,1176.02299,1042.116,1077.54775,2490480,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"ZINB",100,"ZINB",9962.1495,11450.63345,9735.685,10213.77025,8626288,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"ZINB",500,"ZINB",16653.9375,18824.6498,16529.32975,22589.24725,21952312,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"ZINB",1000,"ZINB",43153.2965,51247.59915,42893.728,43271.401,58410056,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"ZIP",100,"ZIP",2621.168,3072.6668,2545.65525,2724.48,2804504,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"ZIP",500,"ZIP",7338.31,8322.1873,7232.42175,7568.2505,11581072,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"ZIP",1000,"ZIP",13976.8895,15817.78805,13391.20775,18276.05025,23535440,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Discrete"
"IV_2SLS",100,"IV_2SLS",2270.191,2321.30078,2206.955,2396.44775,314744,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Econometrics"
"IV_2SLS",1000,"IV_2SLS",2588.848,2232.29228,1184.684,2675.409,794192,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Econometrics"
"IV_2SLS",10000,"IV_2SLS",6982.2065,6951.75822,6852.474,7012.05075,7901072,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Econometrics"
"K-Means",100,"kmeans",199.0325,219.28724,193.41675,203.51275,278424,"K-Means",15.584,15.61112,15.532,15.632,0,12.7715926591376,14.0468614679792,NA,"ML"
"K-Means",5000,"K-Means",7128.859,7585.22257,6814.365,7686.672,3343688,"K-Means",688.8835,689.17354,687.872,690.059,0,10.3484246610639,11.0062591346731,NA,"ML"
"K-Means",1000,"kmeans",1308.515,1804.7701,1257.915,1842.27275,678344,"K-Means",147.329,147.04682,146.01675,147.541,0,8.88158475249272,12.2734384871431,NA,"ML"
"PCA",100,"PCA",47.424,49.42377,46.945,48.60025,134672,"PCA",6.64,6.64706,6.592,6.688,0,7.1421686746988,7.4354331087729,NA,"ML"
"Random_Forest",1000,"Random_Forest",37123.5245,37708.523,35769.96425,39252.23525,11362832,"RandomForest",10400.181,10404.21974,9869.938,10876.419,495616,3.56950754030146,3.62434896054973,22.9266851756198,"ML"
"PCA",5000,"PCA",721.11,839.65387,646.61375,734.49,1404088,"PCA",283.2495,286.69185,276.025,288.60525,0,2.54584738896273,2.92876783905786,NA,"ML"
"DBSCAN",5000,"DBSCAN",46127.3305,46176.53198,45898.97475,46465.092,22600,"DBSCAN",19345.2575,19382.08911,18848.787,19804.248,71385088,2.3844257694683,2.38243316899083,0.000316592731523984,"ML"
"Random_Forest",500,"Random_Forest",14245.1165,14958.5605,14186.325,14322.085,5694736,"RandomForest",6658.697,6580.60814,6287.77575,6921.475,622592,2.13932493098875,2.27312737390864,9.14681846217105,"ML"
"PCA",1000,"PCA",230.274,204.31066,159.79775,236.21,284088,"PCA",117.1525,124.09007,110.969,128.00025,598016,1.96559185676789,1.64647066441336,0.475050834760274,"ML"
"Hierarchical",100,"Hierarchical",121.2965,124.87496,120.604,123.66,94576,"Hierarchical",73.328,72.96005,71.52,73.536,0,1.65416348461706,1.7115525551312,NA,"ML"
