"method_norm","n","r_method","r_median_us","r_mean_us","r_p25_us","r_p75_us","r_mem_bytes","rust_method","rust_median_us","rust_mean_us","rust_p25_us","rust_p75_us","rust_mem_bytes","speedup_median","speedup_mean","mem_ratio","module"
"Pairwise_Wilcox",4000,"pairwise_wilcox",70922.2325,70975.13223,70475.43825,71477.22675,43813064,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Pairwise_Wilcox",10000,"Pairwise_Wilcox",16550.872,17120.07663,16419.64,16744.681,7433536,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Phillips_Perron",100,"pp_lshort",313.169,359.91744,309.661,323.933,977760,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Phillips_Perron",1000,"pp_lshort",585.538,658.80296,569.114,667.163,371312,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Phillips_Perron",10000,"pp_lshort",3529.8205,4155.18248,3467.332,4199.18275,3734192,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Phillips_Perron",1e+05,"pp_lshort",42270.323,46392.99248,41077.715,46851.89175,37051696,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Poisson_Test",10,"poisson_one_sample",20.24,20.77608,20.032,20.56,50528,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Poisson_Test",15,"poisson_two_sample",31.512,37.6891,31.232,32.536,89544,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Poisson_Test",100,"poisson_one_sample",20.5045,21.12791,20.368,20.74475,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Poisson_Test",150,"poisson_two_sample",31.36,37.00109,31.1,32.44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Poisson_Test",1000,"poisson_one_sample",25.808,34.94508,25.24875,27.564,2168,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Poisson_Test",1500,"poisson_two_sample",31.792,37.49678,31.504,32.728,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Poisson_Test",10000,"poisson_one_sample",76.4165,76.07371,72.36875,77.21625,20168,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Poisson_Test",15000,"poisson_two_sample",31.6565,37.02334,31.468,32.64,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Power_Analysis",30,"power_ttest_power",16.736,20.689962,16.448,17.5,150656,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Power_Analysis",50,"Power_Analysis",18.576,19.51285,18.24,19.016,8664,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Power_Analysis",80,"power_anova_power",9.152,10.494838,9.024,9.36,50248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Power_Analysis",100,"power_prop_power",8.992,10.388418,8.832,9.268,55576,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Power_Analysis",500,"Power_Analysis",18.496,18.73733,18.128,18.868,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Power_Analysis",NA,"power_prop_n",84.9285,93.888934,83.04075,86.54425,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Prop_Test",100,"Prop_Test",34.04,36.32603,33.66,35.376,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Prop_Test",500,"Prop_Test",33.752,34.03034,33.424,34.10425,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Prop_Test",1000,"Prop_Test",33.76,34.01834,33.39625,34.224,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Prop_Trend",3,"prop_trend",374.834,429.528345,366.94125,396.117,1075528,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Prop_Trend",5,"prop_trend",381.922,444.240253,372.769,405.809,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Prop_Trend",10,"prop_trend",379.8175,403.844458,371.88975,394.309,624,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Prop_Trend",20,"prop_trend",386.6575,415.95244,376.87325,404.86975,5552,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Quade",20,"Quade",249.065,256.55819,242.617,265.27625,77096,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Quade",30,"quade",138.8405,157.09159,136.345,142.74075,281360,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Quade",50,"Quade",508.793,593.98573,493.985,537.44125,56696,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Quade",100,"Quade",907.9705,992.74079,889.03475,954.76275,109792,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Quade",200,"quade",438.786,640.01326,428.726,465.52925,58344,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Quade",500,"quade",818.923,905.15882,803.783,871.255,133040,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Quade",1500,"quade",4132.1425,4388.18517,4039.966,4214.55825,442416,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Robust_Stats",100,"fivenum",14.384,21.84088,14.18,14.908,1744,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Robust_Stats",1000,"IQR",22.416,23.09865,22.204,23.22425,12096,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Robust_Stats",10000,"IQR",64.6485,69.89193,62.308,70.12425,120096,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Robust_Stats",1e+05,"IQR",907.587,956.75659,888.031,928.15175,1200096,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Shapiro_Wilk",10,"shapiro_mixed",18.264,18.93813,17.964,18.836,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Shapiro_Wilk",50,"shapiro_normal",20.24,20.60247,19.932,20.672,1896,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Shapiro_Wilk",100,"shapiro_mixed",21.992,22.22871,21.808,22.324,3496,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Shapiro_Wilk",500,"shapiro_normal",35.016,35.31837,34.524,35.39675,16296,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Shapiro_Wilk",1000,"Shapiro_Wilk",50.92,51.83456,50.04,51.556,32296,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Shapiro_Wilk",2000,"shapiro_normal",101.4645,103.33156,97.276,104.01275,64296,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Shapiro_Wilk",5000,"shapiro_normal",207.393,209.09831,189.929,222.51675,160296,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Spectrum",100,"spec_pgram_raw",45.312,55.21299,44.16,46.856,252944,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Spectrum",1000,"Spectrum",126.0405,127.94468,123.712,127.808,262728,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Spectrum",10000,"spec_pgram_raw",483.682,805.30797,465.88575,926.515,1841560,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Spectrum",1e+05,"spec_pgram_raw",4652.992,5336.59103,4574.50775,5511.51825,18401560,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Spline",10,"spline_fmm",6.448,6.61843,6.352,6.56,848,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Spline",50,"spline_natural",8.464,8.76035,8.28425,8.752,3632,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Spline",100,"spline_natural",10.096,10.27092,9.86825,10.356,6032,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Spline",500,"spline_fmm",21.4,21.64263,21.208,21.696,29376,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Spline",1000,"Spline",46.64,48.21006,45.43625,48.1,48384,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"t_test",100,"ttest_one_sample",24.728,25.19991,24.496,24.944,186840,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"t_test",1000,"ttest_one_sample",97.352,97.93144,94.712,99.06425,24248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"t_test",10000,"ttest_one_sample",894.418,893.80713,846.478,900.094,240248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"t_test",1e+05,"ttest_one_sample",8532.917,8808.9518,8500.73625,9171.986,2400248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Tukey",27,"TukeyHSD",1824.606,1883.97886,1796.05,1858.02275,1513760,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Tukey",100,"TukeyHSD",1143.3315,1209.99214,1117.22375,1180.564,104824,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Tukey",500,"Tukey",1260.5315,1362.23516,1242.352,1287.872,390952,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Tukey",1000,"TukeyHSD",1391.388,1538.73691,1364.88875,1481.637,1417736,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Var_Test",100,"Var_Test",37.9045,38.86698,37.07275,39.572,67288,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Var_Test",1000,"Var_Test",147.433,149.77164,146.588,149.63225,40400,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Var_Test",10000,"Var_Test",1414.4925,1410.37514,1391.604,1423.132,400400,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Weighted",100,"Weighted",4.192,4.21442,4.032,4.388,3048,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Weighted",1000,"Weighted",21.752,22.24951,21.55275,22.016,28248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Weighted",10000,"Weighted",212.368,213.80238,209.365,215.325,280248,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Wilcoxon",5,"wilcox_exact",23.88,31.85131,23.504,24.752,3496,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Wilcoxon",10,"wilcox_exact",24.032,24.6236,23.664,24.544,1136,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Wilcoxon",15,"wilcox_exact",24.848,32.94251,24.24,26.53625,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Wilcoxon",20,"wilcox_exact",26.192,32.92267,25.78025,26.804,4336,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Wilcoxon",50,"wilcox_onesample",81.344,90.55214,80.168,82.70825,19112,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Wilcoxon",100,"wilcox_onesample",114.4405,122.966,112.23625,116.12825,35824,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Wilcoxon",500,"wilcox_onesample",394.9775,404.97558,391.397,397.837,162592,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Wilcoxon",1000,"wilcox_onesample",747.0985,762.13483,741.25025,754.122,322432,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"Wilcoxon",10000,"Wilcoxon",16519.684,16855.0909,16457.65125,16619.42475,6553600,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats"
"AFT",100,"AFT",576.026,600.77456,567.53725,603.78975,887416,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"AFT",500,"AFT",1107.051,1301.41658,1084.087,1132.776,1250328,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"AFT",1000,"AFT",1821.0055,2155.1253,1799.337,1867.24175,2484072,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"AFT",2000,"AFT_weibull",3734.004,3970.05356,3706.816,3778.42425,4913432,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"Cox_PH",100,"CoxPH_breslow",541.1695,580.90834,533.98575,562.95375,138768,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"Cox_PH",500,"CoxPH_breslow",917.4675,997.199,898.571,949.543,649904,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"Cox_PH",1000,"CoxPH_breslow",1489.261,1574.36508,1477.521,1506.861,1293152,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"Cox_PH",2000,"CoxPH_efron",2661.657,2825.17295,2623.369,2708.657,2585216,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"Kaplan_Meier",100,"KM_unstratified",227.081,235.79631,223.961,243.76825,1260408,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"Kaplan_Meier",500,"KM_stratified",494.394,558.56267,488.862,518.901,603776,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"Kaplan_Meier",1000,"KM_unstratified",681.442,728.59636,677.118,691.166,859184,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"Kaplan_Meier",5000,"KM_stratified",2510.2485,3366.7802,2486.932,2587.797,6084408,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"Log_Rank",100,"LogRank",300.049,309.61064,292.657,325.197,174280,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"Log_Rank",500,"LogRank",534.6335,600.70057,504.118,579.434,415648,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"Log_Rank",1000,"LogRank",777.1465,847.13882,761.45425,787.815,824320,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"Log_Rank",5000,"LogRank",3573.956,3810.88695,3547.38775,3603.632,4843352,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Survival"
"MSTL",100,"mstl",410.505,540.37735,401.929,432.877,236032,"MSTL",15.2,15.27031,15.136,15.312,0,27.0069078947368,35.3874512043305,NA,"Time Series"
"ARIMA",100,"arima",797.17,1109.6219,749.79,861.982,1079432,"ARIMA",38.6805,38.65781,38.32,38.804,0,20.6090924367575,28.7036927337581,NA,"Time Series"
"Changepoint",100,"Changepoint",107.28,114.06276,105.001,109.068,361400,"Changepoint",7.304,7.32645,7.24425,7.36,0,14.6878422782037,15.5686260057736,NA,"Time Series"
"MSTL",200,"mstl",414.009,422.62185,409.357,422.385,169808,"MSTL",29.8725,29.96398,29.824,29.95675,0,13.859201606829,14.1043295984045,NA,"Time Series"
"ARIMA",200,"ARIMA",850.855,1139.68075,829.31075,920.60725,239528,"ARIMA",71.849,72.35413,71.628,72.61275,0,11.8422664198527,15.75142635258,NA,"Time Series"
"MSTL",500,"mstl",476.7535,480.57475,470.105,483.03725,414736,"MSTL",70.08,70.15156,69.36,70.51275,0,6.80298944063927,6.8505212143536,NA,"Time Series"
"ARIMA",500,"arima",1358.8115,1338.0345,1341.927,1379.08325,670736,"ARIMA",209.921,210.14187,209.725,210.101,0,6.47296602055059,6.36729129706517,NA,"Time Series"
"Changepoint",500,"Changepoint",164.3205,167.83828,162.16075,168.44,117632,"Changepoint",41.08,41.22084,40.992,41.236,0,4.00001217137293,4.07168509909065,NA,"Time Series"
"Changepoint",1000,"changepoint",231.3925,235.2638,229.97625,236.84,173968,"Changepoint",85.64,85.80329,85.46825,85.845,0,2.7019208313872,2.74189719298642,NA,"Time Series"
"ARIMA",10000,"ARIMA",9203.7825,10027.59125,9058.6695,11046.43375,13838264,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Decompose",48,"decompose_additive",474.8325,534.69164,465.43225,491.7,142024,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Decompose",120,"decompose_additive",500.8325,559.23441,487.673,519.277,98712,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Decompose",240,"decompose_additive",532.7765,590.50022,519.413,549.30825,200408,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Decompose",480,"decompose_multiplicative",575.225,640.55565,562.777,595.045,408216,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Decompose",1200,"decompose_multiplicative",711.617,877.25839,703.577,731.20175,1002936,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"GARCH",200,"GARCH",44697.247,47944.4271,43872.3925,48299.51825,14493776,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"GARCH",500,"GARCH",29313.894,29543.7793,26158.08325,32369.57975,28916080,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"GARCH",1000,"GARCH",50653.2745,50710.0726,49793.59575,51739.88125,58878816,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Holt_Winters",20,"HW_period4",1167.803,1292.35034,1142.603,1217.031,144480,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Holt_Winters",48,"HW_mult_fixed",860.002,967.76874,844.398,885.226,70256,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Holt_Winters",60,"HW_period12",1434.6995,1673.15764,1384.279,1545.948,520032,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Holt_Winters",120,"HW_mult_fixed",873.61,965.2465,864.582,907.20675,123872,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Holt_Winters",240,"HW_mult_fixed",893.026,981.69356,881.22625,905.75,225952,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Holt_Winters",260,"HW_period52",1668.909,1856.09602,1648.92,1699.632,1555120,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Holt_Winters",480,"HW_mult_fixed",919.266,1057.6253,908.39875,951.458,430816,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Holt_Winters",1000,"HW_mult_fixed",998.2825,1113.01136,983.846,1032.158,872512,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Kalman",100,"Kalman",517.801,536.1504,506.54575,559.157,47176,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Kalman",200,"Kalman",654.434,655.69155,642.10125,663.814,37376,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"Kalman",500,"Kalman",1118.123,1128.13775,1114.80325,1142.14725,87208,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"MSTL",10000,"MSTL",2629.8235,3120.8613,2585.87,2942.40525,8361488,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"STL",120,"stl",157.027,162.30752,155.347,160.018,305384,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"STL",240,"stl",225.3225,261.50974,221.92375,230.82525,68776,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"STL",480,"stl",345.734,378.92416,339.49925,366.173,133224,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"STL",960,"stl",637.945,651.88454,596.455,644.292,262120,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"StructTS",48,"structts_bsm",20098.8435,20288.54315,19792.878,20454.589,2528440,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"StructTS",50,"structts_level",603.378,671.66432,593.73,624.318,319064,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"StructTS",96,"structts_bsm",38582.593,38895.27415,38331.004,39307.9235,2536456,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"StructTS",100,"structts_level",460.0255,799.77676,456.217,469.80925,15712,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"StructTS",144,"structts_bsm",34761.9645,34961.9466,34609.332,34869.029,1562896,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"StructTS",200,"structts_level",559.09,603.33068,550.79,574.19,27312,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"StructTS",240,"structts_bsm",126403.0705,126664.28875,125905.57225,127784.235,3323912,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"StructTS",500,"StructTS",1085.2035,1085.1275,1077.344,1091.55975,52736,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"VAR",100,"VAR",2947.69,3036.91695,2875.721,3174.094,356296,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"VAR",200,"VAR",2973.7375,3026.7721,2945.353,3018.57,434832,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"VAR",500,"VAR",3549.7795,4253.95195,3468.071,3798.02,1068576,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"VECM",100,"VECM",1298.676,1652.3137,1274.80325,1387.448,686104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"VECM",200,"VECM",1817.1095,1713.6675,1454.948,1899.066,329856,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
"VECM",500,"VECM",1985.678,2002.33475,1947.66925,2045.982,804376,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Series"
